OHE Mast,Latitude,Longitude
981/4   ,20.6406,81.34401
981/3   ,20.6787,81.344645
981/2   ,20.7133,81.34522167
981/1   ,20.7525,81.345875
980/19  ,20.785,81.34641667
980/18  ,20.8214,81.34702333
980/17  ,20.8576,81.34762667
980/16  ,20.8938,81.34823
980/15  ,20.963,81.34938333
980/14  ,20.9637,81.349395
980/13  ,21,81.35
980/12  ,21.0231,81.350385
980/11  ,21.0434,81.35072333
980/10  ,21.065,81.35108333
980/9   ,21.0868,81.35144667
980/8   ,21.1081,81.35180167
980/7   ,21.1267,81.35211167
980/6   ,21.144,81.3524
980/5   ,21.1632,81.35272
980/4   ,21.184,81.35306667
980/3   ,21.2034,81.35339
980/2   ,21.2295,81.353825
980/1   ,21.2599,81.35433167
979/16  ,21.291,81.35485
979/15  ,21.3211,81.35535167
979/13  ,21.3724,81.35620667
979/12  ,21.4006,81.35667667
979/11  ,21.4316,81.35719333
979/10  ,21.4606,81.35767667
979/9   ,21.4894,81.35815667
979/8   ,21.5176,81.35862667
979/7   ,21.5476,81.35912667
979/6   ,21.5788,81.35964667
979/5   ,21.6076,81.36012667
979/4   ,21.6363,81.360605
979/4   ,21.347,81.35578333
979/3   ,21.663,81.36105
979/2   ,21.691,81.36151667
979/1   ,21.7199,81.36199833
978/17  ,21.7489,81.36248167
978/16  ,21.779,81.36298333
978/15  ,21.8072,81.36345333
978/14  ,21.8374,81.36395667
978/13  ,21.8661,81.364435
978/12  ,21.8956,81.36492667
978/11  ,21.9222,81.36537
978/10  ,21.9419,81.36569833
978/9   ,21.9615,81.366025
978/8   ,21.9815,81.36635833
978/7   ,22.0047,81.366745
978/6   ,22.0292,81.36715333
978/5   ,22.0536,81.36756
978/4   ,22.0782,81.36797
978/3   ,22.1092,81.36848667
978/2   ,22.1431,81.36905167
978/1   ,22.18,81.36966667
977/16  ,22.2142,81.37023667
977/15  ,22.2499,81.37083167
977/14  ,22.2852,81.37142
977/13  ,22.3189,81.37198167
977/12  ,22.3533,81.372555
977/11  ,22.3881,81.373135
977/10  ,22.4238,81.37373
977/9   ,22.4564,81.37427333
977/8   ,22.4929,81.37488167
977/7   ,22.5275,81.37545833
977/6   ,22.5625,81.37604167
977/5   ,22.5901,81.37650167
977/4   ,22.6172,81.37695333
977/3   ,22.6472,81.37745333
977/2   ,22.6765,81.37794167
977/1   ,22.7063,81.37843833
976/15  ,22.7364,81.37894
976/14  ,22.7698,81.37949667
976/13  ,22.7993,81.37998833
976/12  ,22.8322,81.38053667
976/11  ,22.8658,81.38109667
976/10  ,22.8982,81.38163667
976/9   ,22.9247,81.38207833
976/8   ,22.9542,81.38257
976/7   ,22.9872,81.38312
976/6   ,23.0204,81.38367333
976/5   ,23.0538,81.38423
976/4   ,23.0836,81.38472667
976/3   ,23.1167,81.38527833
976/2   ,23.1474,81.38579
976/1   ,23.1795,81.386325
975/19  ,23.2129,81.38688167
975/18  ,23.2431,81.387385
975/17  ,23.2768,81.38794667
975/16  ,23.3073,81.388455
975/15  ,23.3422,81.38903667
975/14  ,23.3726,81.38954333
975/13  ,23.405,81.39008333
975/12  ,23.4378,81.39063
975/11  ,23.4695,81.39115833
975/10  ,23.4996,81.39166
975/9   ,23.5248,81.39208
975/8   ,23.5457,81.39242833
975/7   ,23.5662,81.39277
975/6   ,23.5877,81.39312833
975/5   ,23.6097,81.393495
975/4   ,23.6311,81.39385167
975/3   ,23.6532,81.39422
975/2   ,23.6749,81.39458167
975/1   ,23.6972,81.39495333
974/17  ,23.7186,81.39531
974/16  ,23.7421,81.39570167
974/15  ,23.7632,81.39605333
974/14  ,23.7847,81.39641167
974/13  ,23.8104,81.39684
974/12  ,23.8458,81.39743
974/11  ,23.881,81.39801667
974/10  ,23.916,81.3986
974/9   ,23.9494,81.39915667
974/8   ,23.9841,81.399735
974/7   ,24.0168,81.40028
974/6   ,24.0508,81.40084667
974/5   ,24.0864,81.40144
974/4   ,24.1212,81.40202
974/3   ,24.1513,81.40252167
974/2   ,24.1842,81.40307
974/1   ,24.2201,81.40366833
973/16  ,24.2538,81.40423
973/15  ,24.2893,81.40482167
973/14  ,24.3244,81.40540667
973/13  ,24.3581,81.40596833
973/12  ,24.3911,81.40651833
973/11  ,24.4266,81.40711
973/10  ,24.4618,81.40769667
973/8   ,24.5226,81.40871
973/7   ,24.5587,81.40931167
973/6   ,24.5888,81.40981333
973/5   ,24.6236,81.41039333
973/4   ,24.6584,81.41097333
973/3   ,24.6934,81.41155667
973/2   ,24.7274,81.41212333
973/1   ,24.7605,81.412675
972/21  ,24.7863,81.413105
972/20  ,24.808,81.41346667
972/19  ,24.8267,81.41377833
972/18  ,24.8468,81.41411333
972/17  ,24.8638,81.41439667
972/16  ,24.8797,81.41466167
